headlines,outcome,triples,relations,is_in_triples,is_in_entities
Post claiming coronavirus affected patients in Chinniyampalayam and Vellalore get cured within a day by consuming this herbal Mysore pak,0,"[[{'subject': 'coronavirus affected patients', 'relation': 'is in', 'object': 'Chinniyampalayam'}, {'subject': 'Post', 'relation': 'get cured Mysore pak by', 'object': 'consuming'}]]","['is in', 'get cured Mysore pak by']","[{'subject': 'coronavirus affected patients', 'relation': 'is in', 'object': 'Chinniyampalayam'}]","['coronavirus affected patients', 'Chinniyampalayam']"
"‘Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID-19 vaccine. They have confidence in their product’",0,"[[{'subject': 'Dr. VK Srinivas', 'relation': 'Vice-President of', 'object': 'Bharath Biotech'}, {'subject': 'Dr. VK Srinivas', 'relation': 'Vice-President of', 'object': 'Bharath Biotech'}, {'subject': 'Dr. VK Srinivas', 'relation': 'is taking', 'object': 'injection'}, {'subject': 'Dr. VK Srinivas', 'relation': 'is taking', 'object': 'injection of COVID 19 vaccine'}, {'subject': 'Dr. VK Srinivas', 'relation': 'is taking', 'object': 'first injection'}, {'subject': 'Dr. VK Srinivas', 'relation': 'is taking', 'object': 'first injection of COVID 19 vaccine'}], [{'subject': 'Dr. VK Srinivas', 'relation': 'Vice-President of', 'object': 'Bharath Biotech'}, {'subject': 'confidence', 'relation': 'is in', 'object': 'Dr. VK Srinivas'}, {'subject': 'Dr. VK Srinivas', 'relation': 'Vice-President of', 'object': 'Bharath Biotech product'}, {'subject': 'Dr. VK Srinivas', 'relation': 'have', 'object': 'confidence'}, {'subject': 'Dr. VK Srinivas', 'relation': 'have', 'object': 'confidence in Dr. VK Srinivas'}]]","['Vice-President of', 'Vice-President of', 'is taking', 'is taking', 'is taking', 'is taking', 'Vice-President of', 'is in', 'Vice-President of', 'have', 'have']","[{'subject': 'confidence', 'relation': 'is in', 'object': 'Dr. VK Srinivas'}]","['confidence', 'Dr. VK Srinivas']"
A publication in Macedonian claims that “COVID-19 IS NOT A VIRUS and that the Italians are the first to find the cure.,0,"[[{'subject': 'publication', 'relation': 'is in', 'object': 'Macedonian claims'}]]",['is in'],"[{'subject': 'publication', 'relation': 'is in', 'object': 'Macedonian claims'}]","['publication', 'Macedonian claims']"
"A picture of Brazilian president Jair Bolsonaro in a hospital bed, which would show his condition after testing positive for Covid-19.",0,"[[{'subject': 'picture', 'relation': 'is in', 'object': 'hospital bed'}]]",['is in'],"[{'subject': 'picture', 'relation': 'is in', 'object': 'hospital bed'}]","['picture', 'hospital bed']"
A publication in Macedonian claims that “COVID-19 IS NOT A VIRUS and that the Italians are the first to find the cure.,0,"[[{'subject': 'publication', 'relation': 'is in', 'object': 'Macedonian claims'}]]",['is in'],"[{'subject': 'publication', 'relation': 'is in', 'object': 'Macedonian claims'}]","['publication', 'Macedonian claims']"
The low number of deaths from COVID-19 in Japan is due to the “difference in the level of ‘social standards’ between Japan and other countries.,0,"[[{'subject': 'deaths', 'relation': 'low number of is', 'object': 'difference in level'}, {'subject': 'low number', 'relation': 'is due', 'object': 'difference in level of social standards'}, {'subject': 'number', 'relation': 'is due', 'object': 'difference in level'}, {'subject': 'low number', 'relation': 'is due', 'object': 'difference in level of social standards between Japan'}, {'subject': 'deaths', 'relation': 'low number of is', 'object': 'difference in level of standards'}, {'subject': 'deaths', 'relation': 'number of is', 'object': 'difference in level of standards between Japan'}, {'subject': 'deaths', 'relation': 'number of is', 'object': 'difference in level of social standards between Japan'}, {'subject': 'deaths', 'relation': 'low number of is', 'object': 'difference'}, {'subject': 'number', 'relation': 'is due', 'object': 'difference in level of standards between Japan'}, {'subject': 'deaths', 'relation': 'low number of is', 'object': 'difference in level of social standards'}, {'subject': 'deaths', 'relation': 'low number of is', 'object': 'difference in level of social standards between Japan'}, {'subject': 'COVID 19', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Japan'}, {'subject': 'number', 'relation': 'is due', 'object': 'difference'}, {'subject': 'deaths', 'relation': 'number of is', 'object': 'difference'}, {'subject': 'deaths', 'relation': 'number of is', 'object': 'difference in level of social standards'}, {'subject': 'deaths', 'relation': 'low number of is', 'object': 'difference in level of standards between Japan'}, {'subject': 'low number', 'relation': 'is due', 'object': 'difference in level'}, {'subject': 'number', 'relation': 'is due', 'object': 'difference in level of social standards between Japan'}, {'subject': 'low number', 'relation': 'is due', 'object': 'difference in level of standards'}, {'subject': 'low number', 'relation': 'is due', 'object': 'difference in level of standards between Japan'}, {'subject': 'difference', 'relation': 'is in', 'object': 'level of social standards between Japan'}, {'subject': 'low number', 'relation': 'is due', 'object': 'difference'}, {'subject': 'number', 'relation': 'is due', 'object': 'difference in level of standards'}, {'subject': 'deaths', 'relation': 'number of is', 'object': 'difference in level of standards'}, {'subject': 'number', 'relation': 'is due', 'object': 'difference in level of social standards'}, {'subject': 'deaths', 'relation': 'number of is', 'object': 'difference in level'}]]","['low number of is', 'is due', 'is due', 'is due', 'low number of is', 'number of is', 'number of is', 'low number of is', 'is due', 'low number of is', 'low number of is', 'is in', 'is due', 'number of is', 'number of is', 'low number of is', 'is due', 'is due', 'is due', 'is due', 'is in', 'is due', 'is due', 'number of is', 'is due', 'number of is']","[{'subject': 'COVID 19', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Japan'}, {'subject': 'difference', 'relation': 'is in', 'object': 'level of social standards between Japan'}]","['COVID 19', 'http://dbpedia.org/resource/Japan', 'difference', 'level of social standards between Japan']"
A video claims COVID-19 patients are sitting in the hospital corridor of Gandhi Hospital in Hyderabad,0,"[[{'subject': 'hospital corridor', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Hyderabad'}]]",['is in'],"[{'subject': 'hospital corridor', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Hyderabad'}]","['hospital corridor', 'http://dbpedia.org/resource/Hyderabad']"
A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.,0,"[[{'subject': 'COVID 19 cases', 'relation': 'is in', 'object': 'U.S.'}, {'subject': 'spike', 'relation': 'is in', 'object': 'COVID 19 cases'}]]","['is in', 'is in']","[{'subject': 'COVID 19 cases', 'relation': 'is in', 'object': 'U.S.'}, {'subject': 'spike', 'relation': 'is in', 'object': 'COVID 19 cases'}]","['COVID 19 cases', 'U.S.', 'spike', 'COVID 19 cases']"
"A message claims many physicians of Chang Gung Hospital, in Taiwan, are secretly under quarantine for COVID-19, indicating the local transmission and the lack of transparency of government data.",0,"[[{'subject': 'message', 'relation': 'claims', 'object': 'many physicians of Chang Gung Hospital in Taiwan'}, {'subject': 'http://dbpedia.org/resource/Quarantine', 'relation': 'indicating', 'object': 'local transmission'}, {'subject': 'http://dbpedia.org/resource/Quarantine', 'relation': 'indicating', 'object': 'transmission'}, {'subject': 'Chang Gung Hospital', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Taiwan'}, {'subject': 'message', 'relation': 'claims', 'object': 'physicians of Chang Gung Hospital in Taiwan'}]]","['claims', 'indicating', 'indicating', 'is in', 'claims']","[{'subject': 'Chang Gung Hospital', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Taiwan'}]","['Chang Gung Hospital', 'http://dbpedia.org/resource/Taiwan']"
Coronavirus comes from a laboratory in Wuhan and is a commercial strategy of China.,0,"[[{'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'is strategy of', 'object': 'http://dbpedia.org/resource/China'}, {'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'is commercial', 'object': 'http://dbpedia.org/resource/China'}, {'subject': 'laboratory', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Wuhan'}, {'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'comes from', 'object': 'laboratory'}, {'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'is', 'object': 'strategy'}, {'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'is', 'object': 'commercial strategy'}, {'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'is commercial strategy of', 'object': 'http://dbpedia.org/resource/China'}, {'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'comes from', 'object': 'laboratory in Wuhan'}]]","['is strategy of', 'is commercial', 'is in', 'comes from', 'is', 'is', 'is commercial strategy of', 'comes from']","[{'subject': 'laboratory', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Wuhan'}]","['laboratory', 'http://dbpedia.org/resource/Wuhan']"
"Homeless man in Punkunnam, Kerala, India, tested positive for COVID-19.",0,"[[{'subject': 'Homeless man', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Punkunnam'}]]",['is in'],"[{'subject': 'Homeless man', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Punkunnam'}]","['Homeless man', 'http://dbpedia.org/resource/Punkunnam']"
A post stating that a local magazine in Ecuador revealed corruption in test purchase for COVID-19.,0,"[[{'subject': 'local magazine', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Ecuador'}, {'subject': 'magazine', 'relation': 'revealed', 'object': 'corruption in test purchase'}, {'subject': 'local magazine', 'relation': 'revealed', 'object': 'corruption in test purchase for COVID 19'}, {'subject': 'corruption', 'relation': 'is in', 'object': 'test purchase for COVID 19'}, {'subject': 'magazine', 'relation': 'revealed', 'object': 'corruption in test purchase for COVID 19'}, {'subject': 'local magazine', 'relation': 'revealed', 'object': 'corruption in test purchase'}, {'subject': 'local magazine', 'relation': 'revealed', 'object': 'corruption'}, {'subject': 'local magazine', 'relation': 'corruption in', 'object': 'test purchase for COVID 19'}, {'subject': 'magazine', 'relation': 'revealed', 'object': 'corruption'}, {'subject': 'magazine', 'relation': 'corruption in', 'object': 'test purchase for COVID 19'}, {'subject': 'local magazine', 'relation': 'corruption in', 'object': 'test purchase'}, {'subject': 'magazine', 'relation': 'corruption in', 'object': 'test purchase'}]]","['is in', 'revealed', 'revealed', 'is in', 'revealed', 'revealed', 'revealed', 'corruption in', 'revealed', 'corruption in', 'corruption in', 'corruption in']","[{'subject': 'local magazine', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Ecuador'}, {'subject': 'corruption', 'relation': 'is in', 'object': 'test purchase for COVID 19'}]","['local magazine', 'http://dbpedia.org/resource/Ecuador', 'corruption', 'test purchase for COVID 19']"
"There is a Nipah Virus outbreak in India amidst coronavirus pandemic, according to a warning form the WHO.",0,"[[{'subject': 'Nipah Virus outbreak', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/India'}]]",['is in'],"[{'subject': 'Nipah Virus outbreak', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/India'}]","['Nipah Virus outbreak', 'http://dbpedia.org/resource/India']"
Messages stating that King Felipe VI of Spain has bought a new car of more than half a million euros “in the midst of the COVID-19 crisis or “in the midst of a pandemic.,0,"[[{'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought car in', 'object': 'midst'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought car in', 'object': 'midst in midst'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought car in', 'object': 'midst in midst of pandemic'}, {'subject': 'midst', 'relation': 'is in', 'object': 'midst of pandemic'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought', 'object': 'car of half million euros'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought', 'object': 'new car'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought car in', 'object': 'midst of COVID 19 crisis in midst of pandemic'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'new car of', 'object': 'half million euros'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought', 'object': 'new car of half million euros'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'car of', 'object': 'half million euros'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought', 'object': 'car'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought car in', 'object': 'midst of COVID 19 crisis'}, {'subject': 'http://dbpedia.org/resource/Felipe_VI_of_Spain', 'relation': 'bought car in', 'object': 'midst of COVID 19 crisis in midst'}]]","['bought car in', 'bought car in', 'bought car in', 'is in', 'bought', 'bought', 'bought car in', 'new car of', 'bought', 'car of', 'bought', 'bought car in', 'bought car in']","[{'subject': 'midst', 'relation': 'is in', 'object': 'midst of pandemic'}]","['midst', 'midst of pandemic']"
"There is a Nipah Virus outbreak in India amidst coronavirus pandemic, according to a warning form the WHO.",0,"[[{'subject': 'Nipah Virus outbreak', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/India'}]]",['is in'],"[{'subject': 'Nipah Virus outbreak', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/India'}]","['Nipah Virus outbreak', 'http://dbpedia.org/resource/India']"
"A new pandemic has started in China, and there are already cases in Europe and in other Asian countries. A type of swine flu is spreading to humans.",0,"[[{'subject': 'cases', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Europe'}, {'subject': 'new pandemic', 'relation': 'has started in', 'object': 'http://dbpedia.org/resource/China'}, {'subject': 'cases', 'relation': 'is in', 'object': 'other Asian countries'}, {'subject': 'http://dbpedia.org/resource/Pandemic', 'relation': 'has started in', 'object': 'http://dbpedia.org/resource/China'}], [{'subject': 'http://dbpedia.org/resource/Swine_influenza', 'relation': 'is spreading to', 'object': 'humans'}]]","['is in', 'has started in', 'is in', 'has started in', 'is spreading to']","[{'subject': 'cases', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Europe'}, {'subject': 'cases', 'relation': 'is in', 'object': 'other Asian countries'}]","['cases', 'http://dbpedia.org/resource/Europe', 'cases', 'other Asian countries']"
"Raissa Soares, a doctor in Bahia, was fired from a state hospital under orders from Rui Costa, Bahia’s state governor. She was dismissed becaused she favoured the use of hydroxychloroquine against COVID-19.",0,"[[{'subject': 'Raissa Soares', 'relation': 'was fired from', 'object': 'state hospital under orders from Rui Costa'}, {'subject': 'Raissa Soares', 'relation': 'was fired from', 'object': 'state hospital under orders'}, {'subject': 'Raissa Soares', 'relation': 'was fired from', 'object': 'state hospital'}, {'subject': 'http://dbpedia.org/resource/Bahia', 'relation': '’s', 'object': 'state governor'}, {'subject': 'Raissa Soares', 'relation': 'was', 'object': 'fired'}, {'subject': 'doctor', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Bahia'}, {'subject': 'Raissa Soares', 'relation': 'doctor in', 'object': 'http://dbpedia.org/resource/Bahia'}], [{'subject': 'She', 'relation': 'was', 'object': 'dismissed'}, {'subject': 'She', 'relation': 'favoured', 'object': 'use'}, {'subject': 'She', 'relation': 'favoured', 'object': 'use against COVID 19'}, {'subject': 'She', 'relation': 'favoured', 'object': 'use of hydroxychloroquine against COVID 19'}, {'subject': 'She', 'relation': 'favoured', 'object': 'use of hydroxychloroquine'}, {'subject': 'She', 'relation': 'use against', 'object': 'COVID 19'}, {'subject': 'She', 'relation': 'use of', 'object': 'http://dbpedia.org/resource/Hydroxychloroquine'}]]","['was fired from', 'was fired from', 'was fired from', '’s', 'was', 'is in', 'doctor in', 'was', 'favoured', 'favoured', 'favoured', 'favoured', 'use against', 'use of']","[{'subject': 'doctor', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Bahia'}]","['doctor', 'http://dbpedia.org/resource/Bahia']"
"A new pandemic has started in China, and there are already cases in Europe and in other Asian countries. A type of swine flu is spreading to humans.",0,"[[{'subject': 'cases', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Europe'}, {'subject': 'new pandemic', 'relation': 'has started in', 'object': 'http://dbpedia.org/resource/China'}, {'subject': 'cases', 'relation': 'is in', 'object': 'other Asian countries'}, {'subject': 'http://dbpedia.org/resource/Pandemic', 'relation': 'has started in', 'object': 'http://dbpedia.org/resource/China'}], [{'subject': 'http://dbpedia.org/resource/Swine_influenza', 'relation': 'is spreading to', 'object': 'humans'}]]","['is in', 'has started in', 'is in', 'has started in', 'is spreading to']","[{'subject': 'cases', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Europe'}, {'subject': 'cases', 'relation': 'is in', 'object': 'other Asian countries'}]","['cases', 'http://dbpedia.org/resource/Europe', 'cases', 'other Asian countries']"
"A graphic that the Argentine president, Alberto Fernández, showed about the fall in GDP and the deaths by country.",0,"[[{'subject': 'president', 'relation': 'showed about', 'object': 'fall in GDP'}, {'subject': 'Argentine president', 'relation': 'showed about', 'object': 'fall in GDP'}, {'subject': 'fall', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Gross_domestic_product'}, {'subject': 'Argentine president', 'relation': 'showed about', 'object': 'fall'}, {'subject': 'president', 'relation': 'showed about', 'object': 'fall'}]]","['showed about', 'showed about', 'is in', 'showed about', 'showed about']","[{'subject': 'fall', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Gross_domestic_product'}]","['fall', 'http://dbpedia.org/resource/Gross_domestic_product']"
A video claiming that Italian newscasts broadcasted fake pictures and/or videos of coffins in Bergamo during the Covid-19 pandemic.,0,"[[{'subject': 'coffins', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Bergamo'}]]",['is in'],"[{'subject': 'coffins', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Bergamo'}]","['coffins', 'http://dbpedia.org/resource/Bergamo']"
A video on social networks in which you can see how two policemen removed a person from inside a grave. The message with which the images are shared claim that this is a man who had allegedly died with a coronavirus in Brazil and who had been buried alive.,0,"[[{'subject': 'policemen', 'relation': 'removed person from', 'object': 'from grave'}, {'subject': 'policemen', 'relation': 'removed from', 'object': 'from grave'}, {'subject': 'two policemen', 'relation': 'removed from', 'object': 'from grave'}, {'subject': 'two policemen', 'relation': 'removed', 'object': 'person'}, {'subject': 'policemen', 'relation': 'removed', 'object': 'person'}, {'subject': 'two policemen', 'relation': 'removed person from', 'object': 'from grave'}], [{'subject': 'images', 'relation': 'are shared', 'object': 'claim'}, {'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Brazil'}]]","['removed person from', 'removed from', 'removed from', 'removed', 'removed', 'removed person from', 'are shared', 'is in']","[{'subject': 'http://dbpedia.org/resource/Coronavirus', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Brazil'}]","['http://dbpedia.org/resource/Coronavirus', 'http://dbpedia.org/resource/Brazil']"
"A nurse is mistreating elders in Antioquia, Colombia.",0,"[[{'subject': 'nurse', 'relation': 'is mistreating', 'object': 'elders in Antioquia'}, {'subject': 'elders', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Antioquia_Department'}, {'subject': 'nurse', 'relation': 'is mistreating', 'object': 'elders'}]]","['is mistreating', 'is in', 'is mistreating']","[{'subject': 'elders', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Antioquia_Department'}]","['elders', 'http://dbpedia.org/resource/Antioquia_Department']"
"Video of a hospital crowded with COVID-19 patients in a Barranquilla hospital, in Colombia.",0,"[[{'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'Barranquilla hospital'}, {'subject': 'Video', 'relation': 'crowded in', 'object': 'http://dbpedia.org/resource/Colombia'}, {'subject': 'Video', 'relation': 'crowded with', 'object': 'COVID 19 patients'}, {'subject': 'Video', 'relation': 'crowded with', 'object': 'COVID 19 patients in Barranquilla hospital'}]]","['is in', 'crowded in', 'crowded with', 'crowded with']","[{'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'Barranquilla hospital'}]","['COVID 19 patients', 'Barranquilla hospital']"
Breathing in the scent of an eucalyptus leaf strengthens the bronchi.,0,"[[{'subject': 'Breathing', 'relation': 'is in', 'object': 'scent of eucalyptus leaf'}, {'subject': 'Breathing', 'relation': 'strengthens', 'object': 'http://dbpedia.org/resource/Bronchus'}]]","['is in', 'strengthens']","[{'subject': 'Breathing', 'relation': 'is in', 'object': 'scent of eucalyptus leaf'}]","['Breathing', 'scent of eucalyptus leaf']"
Video showing dead bodies of coronavirus patients in Osmania Hospital’s mortuary.,0,"[[{'subject': 'Video', 'relation': 'showing', 'object': 'dead bodies of coronavirus patients'}, {'subject': 'http://dbpedia.org/resource/Osmania_General_Hospital', 'relation': 'in', 'object': 'mortuary'}, {'subject': 'Video', 'relation': 'showing', 'object': 'bodies of coronavirus patients in Osmania Hospital ’s mortuary'}, {'subject': 'coronavirus patients', 'relation': 'is in', 'object': 'Osmania Hospital ’s mortuary'}, {'subject': 'Video', 'relation': 'showing', 'object': 'dead bodies of coronavirus patients in Osmania Hospital ’s mortuary'}, {'subject': 'Video', 'relation': 'showing', 'object': 'bodies'}, {'subject': 'Video', 'relation': 'showing', 'object': 'bodies of coronavirus patients'}, {'subject': 'Video', 'relation': 'showing', 'object': 'dead bodies'}]]","['showing', 'in', 'showing', 'is in', 'showing', 'showing', 'showing', 'showing']","[{'subject': 'coronavirus patients', 'relation': 'is in', 'object': 'Osmania Hospital ’s mortuary'}]","['coronavirus patients', 'Osmania Hospital ’s mortuary']"
"From June 26, Taipei Veterans General Hospital implements strict access control, including a ban on patients visits. The local transmission in Taiwan is worse than what the Taiwan health ministry reported.",0,"[[{'subject': 'http://dbpedia.org/resource/Taipei_Veterans_General_Hospital', 'relation': 'implements', 'object': 'access control including ban on patients visits'}, {'subject': 'http://dbpedia.org/resource/Taipei_Veterans_General_Hospital', 'relation': 'implements', 'object': 'strict access control'}, {'subject': 'http://dbpedia.org/resource/Taipei_Veterans_General_Hospital', 'relation': 'implements', 'object': 'strict access control including ban on patients visits'}, {'subject': 'http://dbpedia.org/resource/Taipei_Veterans_General_Hospital', 'relation': 'implements', 'object': 'access control including ban'}, {'subject': 'http://dbpedia.org/resource/Taipei_Veterans_General_Hospital', 'relation': 'implements access control From', 'object': 'June 26'}, {'subject': 'http://dbpedia.org/resource/Taipei_Veterans_General_Hospital', 'relation': 'implements', 'object': 'strict access control including ban'}, {'subject': 'http://dbpedia.org/resource/Taipei_Veterans_General_Hospital', 'relation': 'implements', 'object': 'http://dbpedia.org/resource/Access_control'}], [{'subject': 'local transmission', 'relation': 'is', 'object': 'worse'}, {'subject': 'transmission', 'relation': 'is', 'object': 'worse'}, {'subject': 'local transmission', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Taiwan'}]]","['implements', 'implements', 'implements', 'implements', 'implements access control From', 'implements', 'implements', 'is', 'is', 'is in']","[{'subject': 'local transmission', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Taiwan'}]","['local transmission', 'http://dbpedia.org/resource/Taiwan']"
"A painting depicting children in face masks was created as a mural for the Denver airport in 1994, proving the COVID-19 pandemic was planned.",0,"[[{'subject': 'children', 'relation': 'is in', 'object': 'face masks'}, {'subject': 'painting', 'relation': 'was', 'object': 'created'}, {'subject': 'painting', 'relation': 'was created as', 'object': 'mural for Denver airport'}, {'subject': 'painting', 'relation': 'was', 'object': 'created as mural for Denver airport in 1994'}, {'subject': 'painting', 'relation': 'was created as', 'object': 'http://dbpedia.org/resource/Mural'}, {'subject': 'painting', 'relation': 'was', 'object': 'created as mural in 1994'}, {'subject': 'painting', 'relation': 'was created in', 'object': '1994'}]]","['is in', 'was', 'was created as', 'was', 'was created as', 'was', 'was created in']","[{'subject': 'children', 'relation': 'is in', 'object': 'face masks'}]","['children', 'face masks']"
A grocery store worker who wore a mask for hours at a time got a lung infection from “breathing in her own bacteria.,0,"[[{'subject': 'grocery store worker', 'relation': 'got', 'object': 'lung infection from breathing'}, {'subject': 'breathing', 'relation': 'is in', 'object': 'grocery store worker'}, {'subject': 'grocery store worker', 'relation': 'got', 'object': 'lung infection'}, {'subject': 'grocery store worker', 'relation': 'got', 'object': 'lung infection from breathing in grocery store worker'}]]","['got', 'is in', 'got', 'got']","[{'subject': 'breathing', 'relation': 'is in', 'object': 'grocery store worker'}]","['breathing', 'grocery store worker']"
Hospital in Pakistan is overwhelmed by COVID-19 patients,0,"[[{'subject': 'Hospital', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Pakistan'}, {'subject': 'Hospital', 'relation': 'is overwhelmed by', 'object': 'COVID 19 patients'}]]","['is in', 'is overwhelmed by']","[{'subject': 'Hospital', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Pakistan'}]","['Hospital', 'http://dbpedia.org/resource/Pakistan']"
The Minister of Health in Colombia has confirmed that hospitals and clinics have a “macabre business.,0,"[[{'subject': 'Minister', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Colombia'}, {'subject': 'hospitals', 'relation': 'have', 'object': 'macabre business'}, {'subject': 'hospitals', 'relation': 'have', 'object': 'business'}, {'subject': 'clinics', 'relation': 'have', 'object': 'macabre business'}, {'subject': 'clinics', 'relation': 'have', 'object': 'business'}]]","['is in', 'have', 'have', 'have', 'have']","[{'subject': 'Minister', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Colombia'}]","['Minister', 'http://dbpedia.org/resource/Colombia']"
"Tamil National Alliance leader Sampanthan states that Tamil Nadu COVID-19 patients should be sent to Sri Lanka, as there are less patients in the country.",0,"[[{'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'as are less patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'as are patients'}, {'subject': 'patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Sri_Lanka'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'as are patients'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'are patients'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'are patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'as are less patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'as are less patients'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be', 'object': 'sent'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'as are patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'are less patients'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'as are less patients'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'are less patients'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent to', 'object': 'http://dbpedia.org/resource/Sri_Lanka'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'are patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'are patients'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be sent', 'object': 'are less patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'are less patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent to', 'object': 'http://dbpedia.org/resource/Sri_Lanka'}, {'subject': 'Tamil Nadu COVID patients', 'relation': 'be sent', 'object': 'as are patients in Sri Lanka'}, {'subject': 'Tamil Nadu COVID 19 patients', 'relation': 'be', 'object': 'sent'}]]","['be sent', 'be sent', 'is in', 'be sent', 'be sent', 'be sent', 'be sent', 'be sent', 'be', 'be sent', 'be sent', 'be sent', 'be sent', 'be sent to', 'be sent', 'be sent', 'be sent', 'be sent', 'be sent to', 'be sent', 'be']","[{'subject': 'patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Sri_Lanka'}]","['patients', 'http://dbpedia.org/resource/Sri_Lanka']"
